symbol
ACES
AKRA
ASSA
AUTO
BBCA
BBNI
BBRI
BFIN
BMRI
BMTR
BRPT
BSDE
CTRA
EMTK
ERAA
GOTO
JSMR
MAPI
MIKA
MNCN
MPMX
PGEO
PWON
SCMA
SIDO
TBIG
TLKM
TOWR
TPIA
UNVR
