symbol
ACES
ADMR
ADRO
AKRA
AMMN
ANTM
ASII
AUTO
AVIA
BDKR
BMTR
BRIS
BRMS
BRPT
BSDE
BTPS
CPIN
CTRA
DSNG
ELSA
EMTK
ERAA
ESSA
EXCL
FILM
GJTL
GOTO
HEAL
HRUM
ICBP
INCO
INDF
INDY
INKP
INTP
ISAT
ITMG
JPFA
KLBF
MAHA
MAPA
MAPI
MBMA
MDKA
MEDC
MIDI
MIKA
MNCN
MPMX
MTEL
MYOR
PANI
PGAS
PGEO
PTBA
PTMP
PWON
SCMA
SIDO
SMGR
SMIL
SMRA
SRTG
TINS
TKIM
TLKM
TPIA
UNTR
UNVR
WIFI
