symbol
AKRA
AMRT
AUTO
BBCA
BBNI
BBRI
BBTN
BFIN
BMRI
BMTR
BRMS
ENRG
ESSA
EXCL
GJTL
HEAL
ICBP
INDF
INDY
ISAT
KLBF
MAPA
MAPI
MEDC
MIKA
MPMX
PNLF
SMRA
TBIG
TLKM
