symbol
ADRO
AMRT
ANTM
ASII
BBCA
BBNI
BBRI
BMRI
BRPT
ICBP
INDF
INKP
ITMG
KLBF
PTBA
SMGR
TLKM
TPIA
UNTR
UNVR
