symbol
ACES
ADMR
ADRO
AKRA
AMRT
ASII
BBCA
BBRI
BFIN
BMRI
BTPS
CPIN
GGRM
HRUM
INCO
INTP
ITMG
KLBF
MIKA
MNCN
MYOR
PTBA
SCMA
SIDO
SMIL
TKIM
TLKM
TRON
UNTR
UNVR
