symbol
ADHI
AGRO
ANTM
BBNI
BBRI
BBTN
BJBR
BJTM
BMRI
BRIS
ELSA
JSMR
MTEL
PGAS
PGEO
PTBA
PTPP
SMGR
TINS
TLKM
