symbol
ACES
ADRO
AKRA
AMMN
AMRT
ANTM
ARTO
ASII
BBCA
BBNI
BBRI
BBTN
BMRI
BRIS
BRPT
BUKA
CPIN
ESSA
EXCL
GGRM
GOTO
HRUM
ICBP
INCO
INDF
INKP
INTP
ISAT
ITMG
KLBF
MAPI
MBMA
MDKA
MEDC
MTEL
PGAS
PGEO
PTBA
SIDO
SMGR
SRTG
TLKM
TOWR
UNTR
UNVR
