symbol
ACES
ADRO
AKRA
AMRT
ANTM
ARTO
ASII
BBCA
BBNI
BBRI
BMRI
BRPT
BUKA
CPIN
GOTO
ICBP
INCO
INDF
INKP
ITMG
KLBF
MDKA
MEDC
PGAS
PGEO
PTBA
SMGR
TLKM
UNTR
UNVR
