symbol
ABMM.JK
ACES.JK
ADHI.JK
ADMR.JK
ADRO.JK
AGRO.JK
AKRA.JK
AMRT.JK
ANTM.JK
ARTO.JK
ASII.JK
ASSA.JK
AUTO.JK
BBCA.JK
BBNI.JK
BBRI.JK
BBTN.JK
BFIN.JK
BMRI.JK
BMTR.JK
BRIS.JK
BRMS.JK
BRPT.JK
BSDE.JK
BTPS.JK
BUKA.JK
CFIN.JK
CPIN.JK
CTRA.JK
DOID.JK
DRMA.JK
DSNG.JK
ELSA.JK
EMTK.JK
ENRG.JK
ERAA.JK
ESSA.JK
EXCL.JK
GGRM.JK
GOTO.JK
GTRA.JK
HEAL.JK
HRTA.JK
HRUM.JK
ICBP.JK
IMAS.JK
INCO.JK
INDF.JK
INDY.JK
INKP.JK
INTP.JK
ISAT.JK
ITMG.JK
JPFA.JK
JSMR.JK
KLBF.JK
LPPF.JK
MAPA.JK
MAPI.JK
MARK.JK
MBMA.JK
MDKA.JK
MEDC.JK
MIKA.JK
MNCN.JK
MPMX.JK
MTEL.JK
MTMH.JK
MYOR.JK
NISP.JK
PGAS.JK
PGEO.JK
PNLF.JK
PTBA.JK
PTMP.JK
PTPP.JK
PTRO.JK
PWON.JK
RAJA.JK
SCMA.JK
SIDO.JK
SILO.JK
SMGR.JK
SMIL.JK
SMRA.JK
SMSM.JK
SRTG.JK
SSIA.JK
SSMS.JK
TBIG.JK
TINS.JK
TKIM.JK
TLKM.JK
TOWR.JK
TPIA.JK
TRON.JK
UNTR.JK
UNVR.JK
WIFI.JK
WIIM.JK
